    5694  ! number of records (species) in the file
GMALAHY   233.34
GTT002E   245.06
GTT001u   245.06
GTT001B   278.16
GTT000X   247.38
GTT000l   268.07
GTT003R   249.07
GTT003A   249.33
GTT001j   293.55
GTT002B   278.16
GTT001r   278.16
GTT0018   300.09
GTT000U   279.85
GTT000i   247.38
GTT003O   253.19
GTT0037   281.34
GTT001g   251.02
GTT002C   247.38
GTT001s   247.38
GTT0019   279.85
GTT000V   249.33
GTT000j   282.09
GTT003P   267.14
GTT0038   251.02
GTT001h   303.23
GTT002H   245.06
GTT000y   268.07
GTT001x   245.06
GTT001E   278.16
GTT000a   247.38
GTT000o   268.07
GTT003U   249.07
GTT002R   250.36
GTT001P   249.07
GTT002F   278.16
GTT000w   247.38
GTT001v   278.16
GTT001C   300.09
GTT000Y   279.85
GTT000m   247.38
GTT003S   253.19
GTT002P   284.87
GTT001N   253.19
GTT002G   247.38
GTT000x   282.09
GTT001w   247.38
GTT001D   279.85
GTT000Z   249.33
GTT000n   282.09
GTT003T   267.14
GTT002Q   253.19
GTT001O   267.14
GTT0042   250.00
GTT002L   245.06
GTT0013   268.07
GTT002A   245.06
GTT000s   268.07
GTT001U   282.09
GTT003b   249.07
GTT002X   253.19
GTT001V   267.14
GTT0043   245.06
GTT003Y   253.19
GTT002Z   286.83
GTT001X   255.50
GTT0044   268.07
GTT0011   282.09
GTT000q   282.09
GTT003Z   267.14
GTT004T   250.00
GTT004W   245.06
GTT000D   224.53
GTT004R   245.06
GTT004U   278.16
GTT000B   242.23
GTT004S   268.07
GTT004V   247.38
GTT000C   250.00
GTT0006   180.05
GTT0026   245.06
GTT0023   278.16
GTT0024   247.38
GTT000E   242.23
GTT0025   253.19
GTT003l   278.16
GTT003n   300.09
GTT000H   276.20
GTT003m   247.38
GTT003o   279.85
GTT000I   245.06
GTT0003   246.71
GTT003H   268.07
GTT003K   247.38
GTT000F   250.00
GTT003F   247.38
GTT003I   279.85
GTT003G   282.09
GTT003J   249.33
GTT0004   223.59
GTT003f   249.07
GTT003c   253.19
GTT003d   267.14
GTT000G   223.59
GTT003e   248.01
GTT004N   253.19
GTT004P   286.83
GTT0014   250.36
GTT004O   267.14
GTT004Q   255.50
GTT000Q   249.07
GTT0005   178.99
GAPINEN   133.50
GTT0045   249.07
GTT002K   253.19
GTT0012   267.14
GTT0029   253.19
GTT001L   286.83
GTT000d   255.50
GTT000r   267.14
GTT003a   248.01
GTT0002   180.05
GTT0000   246.71
GTT0001   223.59
GTT900h   244.42
GTT900f   246.08
GTT900g   263.23
GTT9009   246.08
GTT9005   285.56
GTT900i   249.50
GTT900T   243.67
GTT9002   171.83
GTT900U   285.56
GTT900V   249.50
GTT9003   312.16
GTT900Y   288.07
GTT9000   247.01
GTT900G   243.67
GTT900D   256.61
GTT900E   262.48
GTT900I   277.83
GTT900M   252.39
GTT9001   217.15
GTT900F   242.79
GTT900B   262.48
GTT900W   246.08
GTT9007   285.56
GTT900X   249.50
GTT900S   256.61
GTT900J   263.23
GTT900H   249.50
GTT9008   249.50
GTT9004   288.07
GTT900K   277.83
GTT900L   262.48
