TREF TMECH 298.0 298.0
CH3O2      1.30E-12  1.30E-12 DATA, COPY
CH3OH      9.40E-13  9.40E-13 DATA, COPY
CH2O       5.80E-16  5.80E-16 DATA, COPY
HCOO2      5.00E-12  5.00E-12 DATA, COPY
APINEN    6.16E-12  6.16E-12 DATA, DATA
2T0000    2.40E-12  2.40E-12 SAR, SAR
2T0001    2.40E-12  2.40E-12 SAR, SAR
2T0002    2.40E-12  2.40E-12 SAR, SAR
2T0003    2.40E-12  2.40E-12 SAR, SAR
2T0004    2.40E-12  2.40E-12 SAR, SAR
2T0006    2.40E-12  2.40E-12 SAR, SAR
2T0007    2.40E-12  2.40E-12 SAR, SAR
2T0008    2.40E-12  2.40E-12 SAR, SAR
2T0009    2.40E-12  2.40E-12 SAR, SAR
2T000A    2.40E-12  2.40E-12 SAR, SAR
2T000B    2.40E-12  2.40E-12 SAR, SAR
2T000C    2.40E-12  2.40E-12 SAR, SAR
2T000D    2.40E-12  2.40E-12 SAR, SAR
2T9000    2.40E-12  2.40E-12 SAR, SAR
2T000E    2.40E-12  2.40E-12 SAR, SAR
2T000F    2.40E-12  2.40E-12 SAR, SAR
2D0000    2.40E-12  2.40E-12 SAR, SAR
2D0001    2.40E-12  2.40E-12 SAR, SAR
2T000G    2.40E-12  2.40E-12 SAR, SAR
2H0000    2.40E-12  2.40E-12 SAR, SAR
2T8000    2.40E-12  2.40E-12 SAR, SAR
2T9001    2.40E-12  2.40E-12 SAR, SAR
2U0000    2.40E-12  2.40E-12 SAR, SAR
2T9002    2.40E-12  2.40E-12 SAR, SAR
2T9003    2.40E-12  2.40E-12 SAR, SAR
2D0002    2.40E-12  2.40E-12 SAR, SAR
2T000H    2.40E-12  2.40E-12 SAR, SAR
2D7000    2.40E-12  2.40E-12 SAR, SAR
2D7001    2.40E-12  2.40E-12 SAR, SAR
2T8001    2.40E-12  2.40E-12 SAR, SAR
2N0000    2.40E-12  2.40E-12 SAR, SAR
2H0001    2.40E-12  2.40E-12 SAR, SAR
2H9000    2.40E-12  2.40E-12 SAR, SAR
2K9000    2.40E-12  2.40E-12 SAR, SAR
2K9001    2.40E-12  2.40E-12 SAR, SAR
2K9002    2.40E-12  2.40E-12 SAR, SAR
2D8000    2.40E-12  2.40E-12 SAR, SAR
2U7000    2.40E-12  2.40E-12 SAR, SAR
2U9000    2.40E-12  2.40E-12 SAR, SAR
2U9001    2.40E-12  2.40E-12 SAR, SAR
2U9002    2.40E-12  2.40E-12 SAR, SAR
2U9003    2.40E-12  2.40E-12 SAR, SAR
2K4000    2.40E-12  2.40E-12 SAR, SAR
2D2000    2.40E-12  2.40E-12 SAR, SAR
2N7000    2.40E-12  2.40E-12 SAR, SAR
2K9003    2.40E-12  2.40E-12 SAR, SAR
2K8000    2.40E-12  2.40E-12 SAR, SAR
2K9004    2.40E-12  2.40E-12 SAR, SAR
2K8001    2.40E-12  2.40E-12 SAR, SAR
2D5000    2.40E-12  2.40E-12 SAR, SAR
2N9000    2.40E-12  2.40E-12 SAR, SAR
2D5001    2.40E-12  2.40E-12 SAR, SAR
2U9004    2.40E-12  2.40E-12 SAR, SAR
2U9005    2.40E-12  2.40E-12 SAR, SAR
2U8000    2.40E-12  2.40E-12 SAR, SAR
2U8001    2.40E-12  2.40E-12 SAR, SAR
2D7002    2.40E-12  2.40E-12 SAR, SAR
2N4000    2.40E-12  2.40E-12 SAR, SAR
2O6000    2.40E-12  2.40E-12 SAR, SAR
2O6001    2.40E-12  2.40E-12 SAR, SAR
2O5000    2.40E-12  2.40E-12 SAR, SAR
TT000I    1.02E-15  1.02E-15 SAR, SAR
2T000I    2.40E-12  2.40E-12 SAR, SAR
2T000J    2.40E-12  2.40E-12 SAR, SAR
2T000K    2.40E-12  2.40E-12 SAR, SAR
2T000L    2.40E-12  2.40E-12 SAR, SAR
2T000M    2.40E-12  2.40E-12 SAR, SAR
2T000N    2.40E-12  2.40E-12 SAR, SAR
2T000O    2.40E-12  2.40E-12 SAR, SAR
2H0002    2.40E-12  2.40E-12 SAR, SAR
2T7000    2.40E-12  2.40E-12 SAR, SAR
2H7000    2.40E-12  2.40E-12 SAR, SAR
TD0000    2.26E-14  2.26E-14 SAR, SAR
2T000P    2.40E-12  2.40E-12 SAR, SAR
2T000Q    2.40E-12  2.40E-12 SAR, SAR
2T9004    2.40E-12  2.40E-12 SAR, SAR
2D0003    2.40E-12  2.40E-12 SAR, SAR
2D0004    2.40E-12  2.40E-12 SAR, SAR
2D0005    2.40E-12  2.40E-12 SAR, SAR
2D0006    2.40E-12  2.40E-12 SAR, SAR
2D7003    2.40E-12  2.40E-12 SAR, SAR
2D0007    2.40E-12  2.40E-12 SAR, SAR
2D7004    2.40E-12  2.40E-12 SAR, SAR
2D4000    2.40E-12  2.40E-12 SAR, SAR
TT000F    1.04E-15  1.04E-15 SAR, SAR
2T000R    2.40E-12  2.40E-12 SAR, SAR
2T000S    2.40E-12  2.40E-12 SAR, SAR
2T000T    2.40E-12  2.40E-12 SAR, SAR
2T000U    2.40E-12  2.40E-12 SAR, SAR
2T000V    2.40E-12  2.40E-12 SAR, SAR
2T000W    2.40E-12  2.40E-12 SAR, SAR
2T000X    2.40E-12  2.40E-12 SAR, SAR
2H0003    2.40E-12  2.40E-12 SAR, SAR
2T7001    2.40E-12  2.40E-12 SAR, SAR
2H7001    2.40E-12  2.40E-12 SAR, SAR
TT000C    4.74E-15  4.74E-15 SAR, SAR
2T000Y    2.40E-12  2.40E-12 SAR, SAR
2T000Z    2.40E-12  2.40E-12 SAR, SAR
2T000a    2.40E-12  2.40E-12 SAR, SAR
2T000b    2.40E-12  2.40E-12 SAR, SAR
2T7002    2.40E-12  2.40E-12 SAR, SAR
TH000E    6.45E-16  6.45E-16 SAR, SAR
2T000c    2.40E-12  2.40E-12 SAR, SAR
2T000d    2.40E-12  2.40E-12 SAR, SAR
