    5694  ! number of records (species) in the file
! Diffusion volume computed using the Fuller et al. approach,
! as described in Poling et al. book (5th edition, 2004)
GMALAHY     68.25
GTT002E    233.36
GTT001u    233.36
GTT001B    247.81
GTT000X    239.47
GTT000l    225.02
GTT003R    214.29
GTT003A    227.28
GTT001j    218.94
GTT002B    247.81
GTT001r    247.81
GTT0018    262.26
GTT000U    253.92
GTT000i    239.47
GTT003O    228.74
GTT0037    241.73
GTT001g    233.39
GTT002C    239.47
GTT001s    239.47
GTT0019    253.92
GTT000V    245.58
GTT000j    231.13
GTT003P    220.40
GTT0038    233.39
GTT001h    225.05
GTT002H    233.36
GTT000y    225.02
GTT001x    233.36
GTT001E    247.81
GTT000a    239.47
GTT000o    225.02
GTT003U    214.29
GTT002R    222.63
GTT001P    214.29
GTT002F    247.81
GTT000w    239.47
GTT001v    247.81
GTT001C    262.26
GTT000Y    253.92
GTT000m    239.47
GTT003S    228.74
GTT002P    237.08
GTT001N    228.74
GTT002G    239.47
GTT000x    231.13
GTT001w    239.47
GTT001D    253.92
GTT000Z    245.58
GTT000n    231.13
GTT003T    220.40
GTT002Q    228.74
GTT001O    220.40
GTT0042    218.91
GTT002L    233.36
GTT0013    225.02
GTT002A    233.36
GTT000s    225.02
GTT001U    231.13
GTT003b    214.29
GTT002X    228.74
GTT001V    220.40
GTT0043    233.36
GTT003Y    228.74
GTT002Z    243.19
GTT001X    234.85
GTT0044    225.02
GTT0011    231.13
GTT000q    231.13
GTT003Z    220.40
GTT004T    218.91
GTT004W    233.36
GTT000D    212.80
GTT004R    233.36
GTT004U    247.81
GTT000B    227.25
GTT004S    225.02
GTT004V    239.47
GTT000C    218.91
GTT0006    202.07
GTT0026    233.36
GTT0023    247.81
GTT0024    239.47
GTT000E    227.25
GTT0025    228.74
GTT003l    247.81
GTT003n    262.26
GTT000H    241.70
GTT003m    239.47
GTT003o    253.92
GTT000I    233.36
GTT0003    216.52
GTT003H    225.02
GTT003K    239.47
GTT000F    218.91
GTT003F    239.47
GTT003I    253.92
GTT003G    231.13
GTT003J    245.58
GTT0004    208.18
GTT003f    214.29
GTT003c    228.74
GTT003d    220.40
GTT000G    208.18
GTT003e    209.67
GTT004N    228.74
GTT004P    243.19
GTT0014    222.63
GTT004O    220.40
GTT004Q    234.85
GTT000Q    214.29
GTT0005    197.45
GAPINEN    195.96
GTT0045    214.29
GTT002K    228.74
GTT0012    220.40
GTT0029    228.74
GTT001L    243.19
GTT000d    234.85
GTT000r    220.40
GTT003a    209.67
GTT0002    202.07
GTT0000    216.52
GTT0001    208.18
GTT900h    198.39
GTT900f    212.84
GTT900g    204.50
GTT9009    212.84
GTT9005    227.29
GTT900i    218.95
GTT900T    193.77
GTT9002    181.55
GTT900U    227.29
GTT900V    218.95
GTT9003    241.74
GTT900Y    233.40
GTT9000    196.00
GTT900G    193.77
GTT900D    208.22
GTT900E    199.88
GTT900I    210.61
GTT900M    225.06
GTT9001    187.66
GTT900F    189.15
GTT900B    199.88
GTT900W    212.84
GTT9007    227.29
GTT900X    218.95
GTT900S    208.22
GTT900J    204.50
GTT900H    218.95
GTT9008    218.95
GTT9004    233.40
GTT900K    210.61
GTT900L    199.88
GTT900C    193.77
GTT900A    208.22
GTT900n    175.47
GTT000P    200.61
GTT000L    206.72
GTT900p    204.50
GTT000J    221.17
GTT000K    212.83
GTT900m    175.47
GTT900o    187.66
GTT002n    214.29
GTT900a    189.92
GTT000M    215.06
GTT002u    210.44
GTT900b    218.95
GTT900Z    189.92
GTT9006    202.11
GTT002k    228.74
GTT900P    181.58
GTT000N    206.72
GTT001Y    202.10
GTT900R    210.61
GTT900O    181.58
GTT900Q    193.77
GTT002l    220.40
GTT900j    170.85
GTT0041    202.10
GTT003x    216.55
GTT003y    208.21
GTT000O    195.99
GTT003z    197.48
GTT900e    181.58
GTT900c    196.03
GTT900d    187.69
GTT003p    191.37
GTT0046    202.10
GTT900l    199.88
GTT0033    216.55
GTT001c    208.21
GTT900k    170.85
GTT900N    183.04
GTT002m    209.67
GTT002V    222.63
GTT001T    214.29
GTT002S    237.08
GTT001Q    228.74
GTT002T    228.74
GTT001R    220.40
GTT002U    218.01
GTT001S    209.67
GTT002D    228.74
GTT001t    228.74
GTT000W    234.85
GTT000k    220.40
GTT003Q    209.67
GTT0039    222.66
GTT001i    214.32
GTE800N    170.30
GTE800J    184.75
GTE8003    176.41
GTO6001    135.34
GTE900N    205.99
GTN700F    177.91
GTH700U    169.57
GTK7006    157.35
GTU7003    151.24
GTE800K    184.75
GTE800G    199.20
GTE8000    190.86
GTN7002    192.36
GTN6002    149.79
GTN700Q    171.80
GTE900L    220.44
GTN700E    192.36
GTH700S    184.02
GTN700a    171.80
GTN700W    165.69
GTE800L    176.41
GTE800H    190.86
GTE8001    182.52
GTH6003    141.45
GTH700Z    163.46
GTE900M    212.10
GTH700b    184.02
GTH700T    175.68
GTH700w    163.46
GTH700n    157.35
GTE800M    165.68
GTE800I    180.13
GTE8002    171.79
GTK6001    130.72
GTK7001    152.73
GTN700D    177.91
GTH700A    169.57
GTE000p    245.58
GTE000n    260.03
GTE000o    251.69
GTE900F    220.44
GTN7009    177.91
GTN7004    192.36
GTH7003    184.02
GTE0009    237.24
GTE0007    251.69
GTE0008    243.35
GTE9000    212.10
GTH7007    169.57
GTH700a    184.02
GTH7008    175.68
GTE0012    226.51
GTE000z    240.96
GTE0011    232.62
GTE900K    201.37
GTK7003    158.84
GTN700C    173.29
GTH7009    164.95
GTK7005    152.73
GTU7002    146.62
GTN700M    167.18
GTH700N    158.84
GTN700X    165.69
GTH700q    157.35
GTU7001    146.62
GTN6000    164.24
GTN700V    180.14
GTH6000    155.90
GTH700l    171.80
GTH700o    171.80
GTH6001    147.56
GTH700m    163.46
GTE5000     87.28
GTE800F    165.68
GTO0000    229.64
GTN000Q    244.09
GTH001f    235.75
GTK900B    204.50
GTN001O    244.09
GTN000O    258.54
GTH001c    250.20
GTN900E    218.95
GTH003a    235.75
GTH001Z    250.20
GTH001d    241.86
GTH901U    210.61
GTK0006    225.02
GTN000P    239.47
GTH001e    231.13
GTK9003    199.88
GTN001P    244.09
GTN000R    258.54
GTH001g    250.20
GTN9019    218.95
GTN001Q    258.54
GTN000S    272.99
GTH001i    264.65
GTN9006    233.40
GTH901V    225.06
GTN0014    239.47
GTN0013    253.92
GTH001u    245.58
GTN900s    214.33
GTH003b    235.75
GTH001a    250.20
GTH001h    241.86
GTH9027    210.61
GTH003c    250.20
GTH001b    264.65
GTH001j    256.31
GTH9028    225.06
GTH901W    216.72
GTH001v    237.24
GTH901n    205.99
GTH000A    225.02
GTU0000    212.80
GTN0000    227.25
GTH0001    218.91
GTA800r    173.25
GTG800E    179.36
GTP800I    193.81
GTU9001    187.66
GTE800C    180.13
GTN900C    233.40
GTH900H    225.06
GTN9004    247.85
GTH9004    239.51
GTN700K    181.63
GTH901t    239.51
GTH901X    231.17
GTH700K    173.29
GTA800m    187.70
GTG800C    193.81
GTP800G    208.26
GTN9001    202.11
GTN700U    161.07
GTE800D    171.79
GTH901S    216.72
GTH700e    173.29
GTH700L    164.95
GTH901L    199.88
GTH901I    214.33
GTH901J    205.99
GTH901K    195.26
GTA800j    179.36
GTG8009    185.47
GTP800D    199.92
GTH9001    193.77
GTH700p    152.73
GTO6000    129.23
GTN6003    143.68
GTH6004    135.34
GTK6002    124.61
GTE800E    161.06
GTH001r    245.58
GTN900D    214.33
GTH001s    237.24
GTH901T    205.99
GTH001t    226.51
GTK9002    195.26
GTN000E    253.92
GTN000D    268.37
GTH000u    260.03
GTN9005    228.78
GTH002C    251.69
GTH002s    240.96
GTH001w    251.69
GTH901o    220.44
GTH002D    243.35
GTH002t    232.62
GTH003j    245.58
GTH003g    260.03
GTH003h    251.69
GTH003f    245.58
GTH003d    260.03
GTH003e    251.69
GTN001S    233.36
GTN001R    247.81
GTH0007    239.47
GTH003i    240.96
GTH002H    237.24
GTH002E    251.69
GTH002F    243.35
GTH0029    237.24
GTH0027    251.69
GTH0028    243.35
GTH002B    225.02
GTH002A    239.47
GTH0008    231.13
GTH002G    232.62
GTH002r    226.51
GTH002o    240.96
GTH002p    232.62
GTH002w    226.51
GTH002u    240.96
GTH002v    232.62
GTK0005    214.29
GTN001J    228.74
GTH0009    220.40
GTH002q    221.89
GTH001n    220.40
GTH001k    234.85
GTH001l    226.51
GTH001q    220.40
GTH001o    234.85
GTH001p    226.51
GTH003O    220.40
GTU0006    208.18
GTH003M    234.85
GTN000N    222.63
GTH003N    226.51
GTH0000    214.29
GTA800l    168.63
GTG800B    174.74
GTP800F    189.19
GTU9000    183.04
GTH001m    215.78
GTN7007    192.36
GTN7003    206.81
GTH7000    198.47
GTN6001    145.17
GTN7000    206.81
GTN700P    186.25
GTH700X    177.91
GTN700N    167.18
GTN7006    161.07
GTH7004    184.02
GTH7005    175.68
GTH700C    198.47
GTH7001    190.13
GTH6002    136.83
GTH700B    198.47
GTH700k    177.91
GTH700Y    169.57
GTH700f    158.84
GTH700V    152.73
GTK6000    126.10
GTN7008    173.29
GTN7001    187.74
GTH7002    179.40
GTN700O    167.18
GTH7006    164.95
GTH700W    158.84
GTE0013    221.89
GTK7002    154.22
GTK7000    148.11
GTU7000    142.00
GTN700L    162.56
GTH700M    154.22
GTT003E    227.28
GTT003B    241.73
GTT003C    233.39
GTT003D    222.66
GTT001n    218.94
GTT001k    233.39
GTT001l    225.05
GTT001m    214.32
GDK0007    231.13
GND000S    245.58
GHD000n    237.24
GDO3001     79.89
GDK0006    226.51
GHD400B    112.63
GHN4004    127.08
GHH4001    118.74
GTH004U    226.51
GHD600L    149.05
GHD500D    133.15
GHN5009    147.60
GHH5005    139.26
GHD3005     86.00
GHD500C    128.53
GHD2001     65.48
GHD400A    108.01
GED2001     59.37
GNK900L    231.17
GHK900L    222.83
GDK900b    212.10
GNO6006    172.74
GHO6006    164.40
GDO6006    153.67
GNN900m    245.62
GHN900q    237.28
GND9016    226.55
GNN600N    187.19
GHN600R    178.85
GND600U    168.12
GHN901Z    237.28
GHH900W    228.94
GHD901A    218.21
GHN600j    178.85
GHH600L    170.51
GHD600U    159.78
GTD900N    199.88
GTN901A    214.33
GTH902A    205.99
GTA8003    177.87
GTG8004    183.98
GTP8003    198.43
GTH003S    220.40
GAO7004    174.19
GGO7004    180.30
GPO7004    194.75
GEN8001    209.16
GGN700F    194.75
GPN700G    209.20
GNK9004    225.06
GEH8005    200.82
GGH700A    186.41
GPH700E    200.86
GHK9004    216.72
GAO7003    168.08
GGO7003    174.19
GPO7003    188.64
GED8001    190.09
GDK9005    205.99
GAN700O    188.64
GAH700K    180.30
GAD700A    169.57
GAK9009    212.10
GGD7005    175.68
GGK9006    218.21
GPD7005    190.13
GPK9007    232.66
GNO6001    166.63
GHO6001    158.29
GDO6001    147.56
GAO6003    153.67
GGO6002    159.78
GPO6002    174.23
GNN6004    181.08
GHN600C    172.74
GND6006    162.01
GHN6002    172.74
GHH6002    164.40
GHD6002    153.67
GAH600C    159.78
GGH6008    165.89
GPH6009    180.34
GHN9019    231.17
GGN700E    188.64
GPN700F    203.09
GND900d    220.44
GNN600J    181.08
GHN600V    172.74
GND600H    162.01
GHH600P    178.85
GHN600b    168.12
GGH7008    180.30
GPH700D    194.75
GHD900N    212.10
GHH600B    164.40
GHD600D    153.67
GHH600H    159.78
GDD600A    142.94
GDD4003     95.79
GAN800L    210.65
GAH800R    202.31
GAG900G    224.32
GPA900M    238.77
GAD8008    191.58
GAN800J    225.10
GAH800O    216.76
GAG900D    238.77
GPA900J    253.22
GAN8004    206.03
GAH800Y    216.76
GAH800P    208.42
GAG900E    230.43
GPA900K    244.88
GAH8006    197.69
GAN800G    204.54
GAH800H    196.20
GAG9009    218.21
GPA900D    232.66
GAD8005    185.47
GAN800K    206.03
GAH800Q    197.69
GAG900F    219.70
GPA900L    234.15
GAD8007    186.96
GAN6003    168.12
GAH6002    159.78
GAD6002    149.05
GGD9005    218.21
GGN9002    232.66
GGH9002    224.32
GGD9002    212.10
GGD9004    213.59
GPD9004    232.66
GPN9002    247.11
GPH9002    238.77
GPD9001    226.55
GPD9003    228.04
GHO2000     70.10
GDK900n    210.61
GDK900B    204.50
GAO6004    147.56
GGO6003    153.67
GPO6003    168.12
GDK900t    216.72
GND9018    231.17
GHD9015    222.83
GDK900v    210.61
GDK700M    169.57
GUK8006    183.98
GND901Q    231.17
GNN9016    245.62
GHN901d    237.28
GND901S    225.06
GND700P    184.02
GNU800V    198.43
GHD901U    222.83
GHN9024    237.28
GHH9012    228.94
GHD900w    216.72
GHD700S    175.68
GHU800U    190.09
GDK700U    163.46
GDO4001    106.52
GNO4001    125.59
GOO3000     84.51
GNO3001     98.96
GHO3001     90.62
GDO4002    100.41
GAO4000    106.52
GGO4000    112.63
GPO4000    127.08
GDK700F    163.46
GDK600F    144.43
GUD700S    157.35
GDO3003     79.89
GAO3000     86.00
GGO3000     92.11
GPO3000    106.56
GKO4001    106.52
GNK4005    120.97
GHK4006    112.63
GDK4005    101.90
GUD7007    158.84
GUK7004    158.84
GNU800N    198.43
GHU800E    190.09
GUD800K    177.87
GUD800G    179.36
GUD9009    199.88
GUD700U    157.35
GUD5002    116.31
GND901H    225.06
GAN6009    162.01
GGN6005    168.12
GPN6006    182.57
GND900F    231.17
GNN900B    245.62
GHN900P    237.28
GND900C    225.06
GNN5002    160.56
GHN5006    152.22
GND5007    141.49
GND700u    184.02
GNU800F    198.43
GNN700E    204.58
GNN700C    219.03
GHN700D    210.69
GNN9008    245.62
GNN9007    260.07
GHN900C    251.73
GNN9003    239.51
GNN7006    198.47
GNN800F    212.88
GNN700D    199.96
GHN901k    237.28
GHN901l    251.73
GHH9014    243.39
GHN901I    231.17
GHN500M    166.67
GHH500G    158.33
GHN500N    147.60
GHN701E    190.13
GHN800d    204.54
GND700g    184.02
GNN700c    198.47
GHN7012    190.13
GND700e    177.91
GND700f    179.40
GNN4004    140.04
GHN4006    131.70
GND4003    120.97
GAN4002    127.08
GGN4002    133.19
GPN4003    147.64
GNO3000     98.96
GNN3000    113.41
GHN3001    105.07
GND4004    114.86
GAN4000    120.97
GGN4000    127.08
GPN4001    141.53
GND700Z    177.91
GND600W    158.88
GNU700E    171.80
GND3001     94.34
GAN3002    100.45
GGN3001    106.56
GPN3002    121.01
GNN4008    135.42
GHN400B    127.08
GND400B    116.35
GNU7003    173.29
GNU700d    173.29
GNN800G    212.88
GHN800L    204.54
GNU800E    192.32
GNU800G    193.81
GNU9005    214.33
GAN9008    220.44
GGN9009    226.55
GPN9009    241.00
GNU700G    171.80
GHD901L    216.72
GAH6009    153.67
GGH6005    159.78
GPH6006    174.23
GHD8003    190.09
GHD900x    222.83
GHN901O    237.28
GHH9013    228.94
GHD901W    216.72
GHD700r    175.68
GHU800M    190.09
GHN901M    237.28
GHN901N    251.73
GHH900y    243.39
GHN701L    190.13
GHN800S    204.54
GHH900w    228.94
GHH900x    243.39
GHH900u    222.83
GHH800K    196.20
GHD700Z    169.57
GHD4005    112.63
GHO3000     90.62
GHN3003    105.07
GHH3001     96.73
GHD4002    106.52
GAH4001    112.63
GGH4000    118.74
GPH4001    133.19
GHD700n    169.57
GHD600W    150.54
GHU900B    205.99
GHU700C    163.46
GHD3006     86.00
GAH3001     92.11
GGH3000     98.22
GPH3001    112.67
GHN4009    127.08
GHH4004    118.74
GHD4009    108.01
GHU7005    164.95
GHU700a    164.95
GHN800T    204.54
GHH800F    196.20
GHU800L    183.98
GHU800N    185.47
GHU9005    205.99
GHU700E    163.46
GDO3002     73.78
GDO2000     53.26
GAO2000     59.37
GGO2000     65.48
GPO2000     79.93
GNK800D    199.92
GHK8007    191.58
GDK900m    205.99
GAK6002    142.94
GGK6002    149.05
GPK6002    163.50
GDK800A    180.85
GDK900p    212.10
GND9017    226.55
GHD9016    218.21
GDK900L    205.99
GNK5006    141.49
GHK5006    133.15
GDK500D    122.42
GDK700L    164.95
GND901I    226.55
GNN9014    241.00
GHN901y    232.66
GND700Q    184.02
GNN7003    198.47
GND701G    179.40
GHD901M    218.21
GHN901z    232.66
GHD900v    212.10
GHD700U    175.68
GTN900b    218.95
GTH900R    210.61
GTD9007    199.88
GTN900Z    233.40
GTH900O    225.06
GTN900K    214.33
GTH901e    225.06
GTH900P    216.72
GTH900V    205.99
GTA000Y    226.51
GTG000I    232.62
GTP000G    247.07
GTN900d    218.95
GTH900U    210.61
GTD9008    199.88
GTA000W    240.96
GTG000G    247.07
GTP000E    261.52
