*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: APINENE
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
ACETOL	CC(=O)CO	InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3	XLSMFKSTNGKWQX-UHFFFAOYSA-N	C3H6O2	74.0785	false	false	116-09-6; Hydroxyacetone; 1-hydroxypropan-2-one; Acetol; 2-Propanone, 1-hydroxy-
ALCOCH2OOH	OOCC(=O)C=O	InChI=1S/C3H4O4/c4-1-3(5)2-7-6/h1,6H,2H2	RQBGWFCHIWSUOK-UHFFFAOYSA-N	C3H4O4	104.0615	false	false	
APINANO3	O=N(=O)OC1(C)C(O)CC2CC1C2(C)C	InChI=1S/C10H17NO4/c1-9(2)6-4-7(9)10(3,8(12)5-6)15-11(13)14/h6-8,12H,4-5H2,1-3H3	YITBNQHGOKCTCE-UHFFFAOYSA-N	C10H17NO4	215.2463	false	false	
APINAO	OC1CC2CC(C1(C)[O])C2(C)C	InChI=1S/C10H17O2/c1-9(2)6-4-7(9)10(3,12)8(11)5-6/h6-8,11H,4-5H2,1-3H3	SUZHUQBWQLBDJB-UHFFFAOYSA-N	C10H17O2	169.2408	false	false	(2,6,6-Trimethyl-3-hydroxybicyclo[3.1.1]heptane-2-yloxy)radical
APINAO2	[O]OC1(C)C(O)CC2CC1C2(C)C	InChI=1S/C10H17O3/c1-9(2)6-4-7(9)10(3,13-12)8(11)5-6/h6-8,11H,4-5H2,1-3H3	WPSKBBMLIGAJRN-UHFFFAOYSA-N	C10H17O3	185.2402	false	true	
APINAOOH	OOC1(C)C(O)CC2CC1C2(C)C	InChI=1S/C10H18O3/c1-9(2)6-4-7(9)10(3,13-12)8(11)5-6/h6-8,11-12H,4-5H2,1-3H3	RYIWEMFTAFVTLU-UHFFFAOYSA-N	C10H18O3	186.2481	false	false	
APINBCO	O=C1CC2CC(C2(C)C)C1(C)O	InChI=1S/C10H16O2/c1-9(2)6-4-7(9)10(3,12)8(11)5-6/h6-7,12H,4-5H2,1-3H3	VZRRCQOUNSHSGB-UHFFFAOYSA-N	C10H16O2	168.2328	false	false	10136-65-9; 2-Hydroxy-2,6,6-trimethylbicyclo(3.1.1)heptan-3-one; 2-hydroxy-2,6,6-trimethylbicyclo[3.1.1]heptan-3-one; (+)-2-hydroxy-3-pinanone; 2-Hydroxy-3-pinanone
APINBNO3	O=N(=O)OC1CC2CC(C1(C)O)C2(C)C	InChI=1S/C10H17NO4/c1-9(2)6-4-7(9)10(3,12)8(5-6)15-11(13)14/h6-8,12H,4-5H2,1-3H3	AFJBVFUZFQZZRG-UHFFFAOYSA-N	C10H17NO4	215.2463	false	false	
APINBO	[O]C1CC2CC(C1(C)O)C2(C)C	InChI=1S/C10H17O2/c1-9(2)6-4-7(9)10(3,12)8(11)5-6/h6-8,12H,4-5H2,1-3H3	SVKBQRFPUJDFMT-UHFFFAOYSA-N	C10H17O2	169.2408	false	false	(2,6,6-Trimethyl-2-hydroxybicyclo[3.1.1]heptane-3-yloxy)radical
APINBO2	[O]OC1CC2CC(C1(C)O)C2(C)C	InChI=1S/C10H17O3/c1-9(2)6-4-7(9)10(3,11)8(5-6)13-12/h6-8,11H,4-5H2,1-3H3	AUTYQLDEUUIEGG-UHFFFAOYSA-N	C10H17O3	185.2402	false	true	
