TREF TMECH 298.0 298.0
CH4       6.37E-15  6.37E-15 DATA, DATA
CH3OH      9.26E-13  9.26E-13 DATA, DATA
CH3OOH     5.49E-12  5.49E-12 DATA, DATA
!N01003     3.01E-13  3.01E-13 DATA, COPY
!N01001     2.35E-14  2.35E-14 DATA, DATA
CH2O       9.20E-12  9.20E-12 DATA, DATA
!NO1001     3.10E-12  3.10E-12 DATA, COPY
HCOOH      3.10E-12  3.10E-12 DATA, COPY
HCOO2H     3.59E-12  3.59E-12 DATA, DATA
APINEN    5.25E-11  5.25E-11 DATA, DATA
TT000I    7.08E-12  7.08E-12 SAR, SAR
TD0000    3.89E-11  2.86E-11 DATA, SAR
TT000F    2.71E-11  2.71E-11 SAR, SAR
TT000C    1.57E-11  1.57E-11 SAR, SAR
TH000E    1.09E-11  1.09E-11 SAR, SAR
HN0001    3.36E-11  3.36E-11 SAR, SAR
HD0000    4.35E-11  4.35E-11 SAR, SAR
K03000    1.87E-13  1.87E-13 DATA, DATA
HN7000    5.05E-11  5.05E-11 SAR, SAR
TT000H    3.05E-12  3.05E-12 SAR, SAR
TH0006    3.44E-11  3.44E-11 SAR, SAR
HD7001    8.74E-11  8.74E-11 SAR, SAR
TP9000    2.66E-11  2.66E-11 SAR, SAR
TH8000    3.35E-11  3.35E-11 SAR, SAR
HD8000    6.42E-11  6.42E-11 SAR, SAR
TH0003    2.99E-11  2.99E-11 SAR, SAR
TD9000    3.34E-11  3.34E-11 SAR, SAR
HD5000    1.08E-10  1.08E-10 SAR, SAR
TP9001    4.09E-12  4.09E-12 SAR, SAR
TA8002    3.24E-11  3.24E-11 SAR, SAR
TA8001    1.04E-11  1.04E-11 SAR, SAR
TG9000    3.07E-11  3.07E-11 SAR, SAR
DK7002    2.25E-11  2.25E-11 SAR, SAR
TH0005    3.06E-11  3.06E-11 SAR, SAR
ND7002    2.33E-11  2.33E-11 SAR, SAR
UD5000    6.10E-11  3.58E-11 DATA, SAR
TT0001    6.93E-11  6.93E-11 SAR, SAR
TH000B    5.70E-11  5.70E-11 SAR, SAR
HU7000    1.86E-10  1.86E-10 SAR, SAR
HU0000    9.89E-11  9.89E-11 SAR, SAR
TT000N    3.89E-11  3.89E-11 SAR, SAR
TT000K    2.13E-11  2.13E-11 SAR, SAR
TN0000    1.72E-10  1.72E-10 SAR, SAR
TH0001    1.77E-10  1.77E-10 SAR, SAR
TE0003    5.76E-11  5.76E-11 SAR, SAR
ED0000    6.72E-11  6.72E-11 SAR, SAR
TH0000    6.99E-11  6.99E-11 SAR, SAR
TE0000    5.49E-12  5.49E-12 SAR, SAR
TA0000    6.99E-12  6.99E-12 SAR, SAR
TT000E    6.54E-12  6.54E-12 SAR, SAR
DD5000    4.31E-11  4.31E-11 SAR, SAR
DD3000    4.24E-11  4.24E-11 SAR, SAR
NN0000    2.58E-11  2.58E-11 SAR, SAR
TN0007    3.74E-12  3.74E-12 SAR, SAR
ND0000    2.89E-11  2.89E-11 SAR, SAR
NN7000    2.29E-11  2.29E-11 SAR, SAR
HD2000    1.32E-11  1.32E-11 SAR, SAR
DK5001    2.17E-11  2.17E-11 SAR, SAR
TA9001    8.12E-12  8.12E-12 SAR, SAR
ND7001    2.42E-11  2.42E-11 SAR, SAR
ND8000    4.96E-11  4.96E-11 SAR, SAR
TE0001    3.68E-11  3.68E-11 SAR, SAR
TN0001    1.73E-11  1.73E-11 SAR, SAR
TN8000    2.63E-11  2.63E-11 SAR, SAR
TA9000    2.81E-11  2.81E-11 SAR, SAR
TH0008    2.82E-11  2.82E-11 SAR, SAR
TP0000    7.41E-12  7.41E-12 SAR, SAR
TH9000    1.37E-11  1.37E-11 SAR, SAR
TD9001    3.61E-11  3.61E-11 SAR, SAR
ND5001    2.26E-11  2.26E-11 SAR, SAR
ND4000    1.31E-11  1.31E-11 SAR, SAR
HN4000    6.44E-12  6.44E-12 SAR, SAR
TT000B    7.51E-12  7.51E-12 SAR, SAR
